Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1974,4.27,4.29,4.32,4.33,4.40,4.44,4.45,4.49,4.53,4.56,4.57,4.60
1975,4.61,4.64,4.67,4.67,4.69,4.72,4.74,4.78,4.79,4.82,4.86,4.87
1976,4.90,4.93,4.95,4.98,5.01,5.03,5.06,5.11,5.14,5.16,5.21,5.23
1977,5.26,5.30,5.32,5.36,5.40,5.42,5.46,5.48,5.51,5.55,5.58,5.61
1978,5.66,5.69,5.73,5.79,5.82,5.86,5.90,5.92,5.97,6.02,6.05,6.10
1979,6.13,6.18,6.22,6.21,6.27,6.32,6.36,6.40,6.45,6.46,6.51,6.56
1980,6.57,6.63,6.69,6.72,6.76,6.82,6.86,6.91,6.95,7.02,7.09,7.13
1981,7.18,7.23,7.29,7.33,7.37,7.41,7.45,7.52,7.56,7.59,7.63,7.64
1982,7.72,7.72,7.75,7.77,7.84,7.85,7.90,7.94,7.94,7.96,7.98,8.01
1983,8.06,8.09,8.10,8.13,8.17,8.19,8.22,8.20,8.27,8.31,8.31,8.33
1984,8.38,8.38,8.41,8.45,8.45,8.48,8.51,8.51,8.55,8.55,8.57,8.61
1985,8.61,8.64,8.66,8.69,8.70,8.74,8.74,8.76,8.80,8.79,8.81,8.87
1986,8.85,8.88,8.89,8.88,8.90,8.92,8.91,8.94,8.94,8.96,9.01,9.01
1987,9.02,9.05,9.07,9.08,9.11,9.11,9.12,9.18,9.19,9.22,9.27,9.28
1988,9.29,9.29,9.31,9.36,9.41,9.41,9.45,9.46,9.51,9.56,9.58,9.60
1989,9.65,9.68,9.70,9.75,9.74,9.77,9.83,9.83,9.87,9.92,9.93,9.98
1990,10.02,10.07,10.11,10.12,10.16,10.20,10.22,10.24,10.28,10.30,10.32,10.34
1991,10.37,10.39,10.41,10.46,10.49,10.51,10.54,10.56,10.58,10.59,10.61,10.64
1992,10.65,10.67,10.69,10.72,10.74,10.77,10.78,10.81,10.82,10.85,10.86,10.90
1993,10.93,10.95,10.99,10.99,11.01,11.03,11.05,11.07,11.09,11.13,11.15,11.18
1994,11.21,11.25,11.25,11.27,11.29,11.31,11.34,11.36,11.38,11.42,11.45,11.47
1995,11.48,11.52,11.55,11.56,11.60,11.63,11.67,11.69,11.73,11.75,11.78,11.81
1996,11.86,11.87,11.89,11.95,11.97,12.03,12.05,12.09,12.13,12.15,12.20,12.24
1997,12.29,12.31,12.35,12.38,12.43,12.46,12.50,12.57,12.60,12.66,12.71,12.75
1998,12.79,12.83,12.87,12.92,12.97,12.99,13.00,13.07,13.11,13.14,13.17,13.21
1999,13.27,13.30,13.34,13.38,13.42,13.47,13.51,13.54,13.60,13.64,13.66,13.70
2000,13.75,13.80,13.85,13.89,13.94,13.98,14.02,14.07,14.12,14.17,14.23,14.29
2001,14.29,14.36,14.42,14.45,14.50,14.54,14.55,14.60,14.63,14.66,14.71,14.74
2002,14.76,14.78,14.82,14.84,14.88,14.93,14.97,15.02,15.05,15.11,15.15,15.20
2003,15.22,15.28,15.27,15.28,15.33,15.36,15.40,15.42,15.42,15.42,15.46,15.47
2004,15.51,15.53,15.56,15.59,15.63,15.67,15.69,15.73,15.78,15.81,15.84,15.86
2005,15.90,15.93,15.97,16.01,16.04,16.08,16.15,16.17,16.19,16.28,16.31,16.36
2006,16.41,16.48,16.54,16.63,16.65,16.72,16.77,16.83,16.87,16.93,16.98,17.05
2007,17.09,17.15,17.22,17.27,17.34,17.42,17.46,17.50,17.55,17.58,17.63,17.69
2008,17.73,17.80,17.88,17.91,17.98,18.04,18.10,18.18,18.20,18.25,18.31,18.38
2009,18.39,18.44,18.50,18.52,18.53,18.56,18.59,18.67,18.70,18.74,18.80,18.84
2010,18.88,18.91,18.91,18.96,19.01,19.03,19.04,19.11,19.11,19.20,19.21,19.22
2011,19.33,19.31,19.31,19.36,19.41,19.41,19.47,19.47,19.49,19.56,19.56,19.57
2012,19.59,19.59,19.64,19.68,19.67,19.71,19.74,19.74,19.79,19.79,19.85,19.91
2013,19.94,19.99,20.00,20.04,20.05,20.12,20.14,20.18,20.23,20.25,20.31,20.35
2014,20.39,20.51,20.50,20.51,20.54,20.59,20.61,20.66,20.67,20.70,20.77,20.71
2015,20.80,20.84,20.91,20.92,20.98,21.00,21.03,21.10,21.09,21.19,21.21,21.23
2016,21.31,21.33,21.39,21.46,21.47,21.52,21.58,21.60,21.63,21.71,21.71,21.76
2017,21.81,21.84,21.88,21.94,21.96,22.02,22.08,22.11,22.18,22.18,22.22,22.30
2018,22.38,22.42,22.50,22.54,22.59,22.66,22.70,22.78,22.85,22.90,23.00,23.11
2019,23.14,23.21,23.31,23.33,23.38,23.47,23.55,23.62,23.68,23.75,23.84,23.83
2020,23.91,24.01,24.15,25.14,24.99,24.79,24.69,24.82,24.81,24.85,24.93,25.16
2021,25.17,25.25,25.34,25.51,25.68,25.81,25.96,26.12,26.30,26.46,26.57,26.76
2022,26.90,26.97,27.11,27.27,27.39,27.53,27.66,27.75,27.86,28.00,28.13,28.23
2023,28.31,28.42,28.58,28.68,28.79,28.90,29.03,29.09,29.18,29.29,29.42,29.51
2024,29.64,29.70,29.79,29.83,29.95,30.07,30.16,30.26,30.36,30.48,30.57,
